见玉兔玉兔又早东升,1,见玉兔（哇）玉兔又早东升。
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6493381.0839413879,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,6493568.4966221303,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6533399.950453083,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,6539156.4475418888,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,6540922.0274625998,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,6558324.3578472529,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6576579.0874189371,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,6592029.6680618087,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,6598329.3523690999,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,6599534.113990033,0.1111111111111111
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,6606199.1839003004,0.1111111111111111
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,6614162.5187392384,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,6620806.4681202946,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,6636685.9895719616,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,6658786.2811799729,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,6685264.8609535424,0.1111111111111111
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,6696151.0127794435,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6699064.0435039932,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,6706090.1876958096,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,6730426.8235317562,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,6734400.4955768622,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,6792334.6169071794,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,6795006.3040951872,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,6798197.9455213798,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,6801484.8685341766,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,6805228.9439077945,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,6806888.2548482623,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6810411.4777550092,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,6813426.2257080181,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,6831848.2069627214,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6835578.7111715283,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,6851690.5545579353,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,6917502.0111034382,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,6921972.9308476001,0.1111111111111111
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,6923419.446432096,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,6927822.5614797436,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,6928062.372780419,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,6932344.5064799422,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,6947377.1734323297,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,6963371.3213620009,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,6967700.0811754437,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,6967947.2407946484,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,7003998.6369636273,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,7007528.4180975948,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,7015113.7104723956,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,7032935.7725064373,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,7049748.7320936415,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,7053956.9475503471,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,7058002.885103534,0.2222222222222222
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,7058053.5568046486,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,7060361.6900089299,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,7069425.0151494099,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,7074099.3134652525,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,7077622.114375744,0.2222222222222222
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,7085418.2213325528,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,7107485.4330870006,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,7136281.7720351536,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,7161132.1558793848,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,7163882.504059758,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,7174035.9668920562,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,7201169.2330803229,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7210247.1987739773,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,7217113.8752264287,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,7228575.155748548,0.2222222222222222
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,7236491.6600852208,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,7250520.1306901565,0.0
